Date,Open,High,Low,Close,Adj Close,Volume
2010-08-30,16355.839844,16627.199219,15925.759766,16565.759766,16121.266602,1500
2010-08-31,16896.000000,17098.240234,16371.200195,16734.720703,16285.692383,2000
2010-09-01,16066.559570,16081.919922,15127.040039,15311.360352,14900.525391,2100
2010-09-02,15232.000000,15321.599609,14753.280273,14817.280273,14419.702148,1000
2010-09-03,14315.519531,14474.240234,14003.200195,14054.400391,13677.291992,1600
2010-09-07,14202.879883,14384.639648,14018.559570,14310.400391,13926.422852,900
2010-09-08,14192.639648,14192.639648,13619.200195,13806.080078,13435.634766,1200
2010-09-09,13440.000000,13726.719727,13401.599609,13642.240234,13276.191406,1400
2010-09-10,13596.160156,13793.280273,13440.000000,13516.799805,13154.116211,1200
2010-09-13,13181.440430,13181.440430,12817.919922,12899.839844,12553.709961,1100
2010-09-14,12963.839844,13040.639648,12549.120117,12761.599609,12419.179688,1400
2010-09-15,12856.320313,12948.480469,12464.639648,12518.400391,12182.507813,1100
2010-09-16,12572.160156,12666.879883,12326.400391,12352.000000,12020.570313,1400
2010-09-17,12129.280273,12403.200195,12116.480469,12208.639648,11881.056641,1500
2010-09-20,12096.000000,12126.719727,11512.320313,11586.559570,11275.668945,2400
2010-09-21,11571.200195,11745.280273,11353.599609,11642.879883,11330.478516,2000
2010-09-22,11750.400391,11865.599609,11453.440430,11660.799805,11347.916016,2100
2010-09-23,11924.480469,11950.080078,11348.480469,11688.959961,11375.321289,2600
2010-09-24,11315.200195,11353.599609,10972.160156,11020.799805,10725.088867,2500
2010-09-27,10964.480469,11182.080078,10918.400391,11156.480469,10857.130859,1500
2010-09-28,11079.679688,11696.639648,11056.639648,11112.959961,10814.776367,2700
2010-09-29,11225.599609,11348.480469,11066.879883,11200.000000,10899.482422,1700
2010-09-30,11046.400391,11589.120117,10846.719727,11366.400391,11061.416992,4100
2010-10-01,11097.599609,11578.879883,11059.200195,11389.440430,11083.838867,1900
2010-10-04,11509.759766,11970.559570,11392.000000,11804.160156,11487.430664,2300
2010-10-05,11397.120117,11397.120117,10856.959961,10923.519531,10630.418945,3800
2010-10-06,10964.480469,11399.679688,10892.799805,11161.599609,10862.110352,3000
2010-10-07,10977.280273,11338.240234,10977.280273,11092.480469,10794.847656,1900
2010-10-08,11051.519531,11294.719727,10767.360352,10821.120117,10530.766602,3300
2010-10-11,10826.240234,10936.320313,10675.200195,10839.040039,10548.206055,1900
2010-10-12,10900.480469,11156.480469,10544.639648,10577.919922,10294.093750,3700
2010-10-13,10396.160156,10498.559570,10204.160156,10344.959961,10067.383789,3100
2010-10-14,10334.719727,10560.000000,10283.519531,10408.959961,10129.665039,2900
2010-10-15,10027.519531,10278.400391,9740.799805,9740.799805,9479.434570,3900
2010-10-18,9728.000000,9832.959961,9633.280273,9753.599609,9491.891602,2400
2010-10-19,10124.799805,10339.839844,9902.080078,10117.120117,9845.656250,5000
2010-10-20,10035.200195,10094.080078,9681.919922,9912.320313,9646.352539,3400
2010-10-21,9717.759766,10117.120117,9589.759766,9840.639648,9576.594727,3600
2010-10-22,9825.280273,9873.919922,9612.799805,9633.280273,9374.798828,2200
2010-10-25,9518.080078,9518.080078,9310.719727,9502.719727,9247.741211,1900
2010-10-26,9651.200195,9748.480469,9356.799805,9423.360352,9170.511719,2200
2010-10-27,9553.919922,9620.480469,9310.719727,9328.639648,9078.333008,2700
2010-10-28,9221.120117,9512.959961,9203.200195,9272.320313,9023.524414,2200
2010-10-29,9292.799805,9344.000000,9180.160156,9331.200195,9080.825195,1900
2010-11-01,9239.040039,9443.839844,9036.799805,9305.599609,9055.911133,3200
2010-11-02,9090.559570,9121.280273,8942.080078,9021.440430,8779.377930,2800
2010-11-03,8980.480469,9223.679688,8885.759766,8888.320313,8649.828125,3000
2010-11-04,8596.480469,8645.120117,8463.360352,8563.200195,8333.432617,2900
2010-11-05,8545.280273,8634.879883,8496.639648,8558.080078,8328.450195,1900
2010-11-08,8601.599609,8660.480469,8491.519531,8527.360352,8298.554688,1200
2010-11-09,8430.080078,8775.679688,8386.559570,8675.839844,8443.049805,2000
2010-11-10,8627.200195,8829.440430,8509.440430,8532.480469,8303.535156,1900
2010-11-11,8929.280273,9029.120117,8647.679688,8680.959961,8448.032227,2800
2010-11-12,8834.559570,9310.719727,8724.480469,9116.160156,8871.554688,3000
2010-11-15,8983.040039,9228.799805,8929.280273,9205.759766,8958.750000,1600
2010-11-16,9415.679688,9781.759766,9262.080078,9674.240234,9414.660156,3600
2010-11-17,9653.759766,9728.000000,9436.160156,9584.639648,9327.463867,2400
2010-11-18,9267.200195,9282.559570,8934.400391,9128.959961,8884.012695,3000
2010-11-19,9172.480469,9272.320313,9039.360352,9100.799805,8856.606445,1900
2010-11-22,9208.320313,9249.280273,8883.200195,8883.200195,8644.846680,2400
2010-11-23,9144.320313,9448.959961,9105.919922,9285.120117,9035.980469,3000
2010-11-24,9021.440430,9021.440430,8668.160156,8724.480469,8490.385742,2200
2010-11-26,8901.120117,8942.080078,8727.040039,8908.799805,8669.757813,1100
2010-11-29,8934.400391,9239.040039,8847.360352,8911.360352,8672.250000,2700
2010-11-30,9203.200195,9354.240234,9088.000000,9254.400391,9006.084961,2200
2010-12-01,8839.679688,8839.679688,8519.679688,8691.200195,8457.997070,2700
2010-12-02,8616.959961,8642.559570,8358.400391,8399.360352,8173.988770,2500
2010-12-03,8499.200195,8501.759766,8299.519531,8327.679688,8104.231445,2400
2010-12-06,8327.679688,8412.160156,8294.400391,8337.919922,8114.197754,1100
2010-12-07,8043.520020,8350.719727,8038.399902,8332.799805,8109.213379,2000
2010-12-08,8266.240234,8414.719727,8197.120117,8215.040039,7994.614258,1900
2010-12-09,8084.479980,8276.480469,8064.000000,8197.120117,7977.173828,1000
2010-12-10,8133.120117,8220.160156,8012.799805,8035.839844,7820.221680,1400
2010-12-13,7936.000000,8130.560059,7928.319824,8120.319824,7902.435059,1100
2010-12-14,8069.120117,8153.600098,7979.520020,8089.600098,7872.539063,1300
2010-12-15,8097.279785,8243.200195,7946.240234,8176.640137,7957.244141,2200
2010-12-16,8166.399902,8222.719727,7959.040039,7997.439941,7782.851563,1600
2010-12-17,7971.839844,8017.919922,7902.720215,7974.399902,7760.429688,800
2010-12-20,7941.120117,8125.439941,7864.319824,7953.919922,7740.499023,1500
